time,ticker,volume,open,curr
2018-07-01T17:30:00Z,AAVL,0,8,9
2018-07-01T17:30:00Z,ACFI,549255,15,15
2018-07-01T17:30:00Z,BB,0,6,6
2018-07-01T17:30:00Z,BOTT,4269,20,19
2018-07-01T17:30:00Z,BUZZ,4711,53,50
2018-07-01T17:30:00Z,CHIA,1065,34,35
2018-07-01T17:30:00Z,CHPS,0,8,9
2018-07-01T17:30:00Z,COFL,278033,10,9
2018-07-01T17:30:00Z,CYBU,0,8,8
2018-07-01T17:30:00Z,DROO,11400,17,17
2018-07-01T17:30:00Z,EEEEE,95669,14,14
2018-07-01T17:30:00Z,FAER,7284,18,18
2018-07-01T17:30:00Z,FISH,5015,20,19
2018-07-01T17:30:00Z,HELT,3510,74,67
2018-07-01T17:30:00Z,HUW,3010,17,19
2018-07-01T17:30:00Z,KAUF,3500,15,12
2018-07-01T17:30:00Z,KBAT,7000,12,12
2018-07-01T17:30:00Z,KSON,1006,1039,1042
2018-07-01T17:30:00Z,LDSC,1128,23,27
2018-07-01T17:30:00Z,LUPE,17833,12,12
2018-07-01T17:30:00Z,MPC,19415,16,18
2018-07-01T17:30:00Z,MYNC,279457,16,15
2018-07-01T17:30:00Z,NAKR,129667,10,7
2018-07-01T17:30:00Z,NATN,8062,20,18
2018-07-01T17:30:00Z,PDSS,1100,20,19
2018-07-01T17:30:00Z,PEOP,848244,15,15
2018-07-01T17:30:00Z,POWR,0,7,8
2018-07-01T17:30:00Z,SHRX,0,7,7
2018-07-01T17:30:00Z,SKBD,1920,54,54
2018-07-01T17:30:00Z,SKEI,26700,10,9
2018-07-01T17:30:00Z,SMUG,100,25,25
2018-07-01T17:30:00Z,SSS,1645,32,37
2018-07-01T17:30:00Z,STFP,0,6,6
2018-07-01T17:30:00Z,SWNC,349666,12,11
2018-07-01T17:30:00Z,TAG,15,47,40
2018-07-01T17:30:00Z,TNAH,6000,20,19
2018-07-01T17:30:00Z,TNPT,647738,14,16
2018-07-01T17:30:00Z,TPEG,0,6,6
2018-07-01T17:30:00Z,TPP,0,10,9
2018-07-01T17:30:00Z,TSRC,3275,27,21
2018-07-01T17:30:00Z,UNIB,40253,18,16
2018-07-01T17:30:00Z,VPTS,641,1484,1478
2018-07-01T17:30:00Z,YIPP,0,13,14
2018-07-01T18:00:00Z,AAVL,0,8,9
2018-07-01T18:00:00Z,ACFI,549555,15,14
2018-07-01T18:00:00Z,BB,0,6,6
2018-07-01T18:00:00Z,BOTT,4269,20,18
2018-07-01T18:00:00Z,BUZZ,4711,53,51
2018-07-01T18:00:00Z,CHIA,1065,34,35
2018-07-01T18:00:00Z,CHPS,0,8,9
2018-07-01T18:00:00Z,COFL,278033,10,9
2018-07-01T18:00:00Z,CYBU,0,8,8
2018-07-01T18:00:00Z,DROO,11400,17,18
2018-07-01T18:00:00Z,EEEEE,95669,14,14
2018-07-01T18:00:00Z,FAER,8284,18,18
2018-07-01T18:00:00Z,FISH,5016,20,19
2018-07-01T18:00:00Z,HELT,3535,74,64
2018-07-01T18:00:00Z,HUW,3010,17,19
2018-07-01T18:00:00Z,KAUF,3500,15,13
2018-07-01T18:00:00Z,KBAT,7000,12,12
2018-07-01T18:00:00Z,KSON,1006,1039,1045
2018-07-01T18:00:00Z,LDSC,1128,23,26
2018-07-01T18:00:00Z,LUPE,20833,12,12
2018-07-01T18:00:00Z,MPC,19415,16,18
2018-07-01T18:00:00Z,MYNC,322962,16,15
2018-07-01T18:00:00Z,NAKR,129667,10,7
2018-07-01T18:00:00Z,NATN,8271,20,18
2018-07-01T18:00:00Z,PDSS,2100,20,19
2018-07-01T18:00:00Z,PEOP,898944,15,15
2018-07-01T18:00:00Z,POWR,0,7,8
2018-07-01T18:00:00Z,SHRX,0,7,7
2018-07-01T18:00:00Z,SKBD,1920,54,53
2018-07-01T18:00:00Z,SKEI,26700,10,9
2018-07-01T18:00:00Z,SMUG,101,25,26
2018-07-01T18:00:00Z,SSS,1645,32,37
2018-07-01T18:00:00Z,STFP,0,6,6
2018-07-01T18:00:00Z,SWNC,356666,12,11
2018-07-01T18:00:00Z,TAG,20,47,40
2018-07-01T18:00:00Z,TNAH,6000,20,19
2018-07-01T18:00:00Z,TNPT,649738,14,16
2018-07-01T18:00:00Z,TPEG,0,6,6
2018-07-01T18:00:00Z,TPP,0,10,8
2018-07-01T18:00:00Z,TSRC,4275,27,21
2018-07-01T18:00:00Z,UNIB,41453,18,16
2018-07-01T18:00:00Z,VPTS,641,1484,1480
2018-07-01T18:00:00Z,YIPP,0,13,14
2018-07-01T18:30:00Z,AAVL,0,8,9
2018-07-01T18:30:00Z,ACFI,549555,15,14
2018-07-01T18:30:00Z,BB,0,6,7
2018-07-01T18:30:00Z,BOTT,4319,20,18
2018-07-01T18:30:00Z,BUZZ,4711,53,50
2018-07-01T18:30:00Z,CHIA,1086,34,35
2018-07-01T18:30:00Z,CHPS,0,8,9
2018-07-01T18:30:00Z,COFL,278033,10,9
2018-07-01T18:30:00Z,CYBU,0,8,8
2018-07-01T18:30:00Z,DROO,14000,17,18
2018-07-01T18:30:00Z,EEEEE,95669,14,14
2018-07-01T18:30:00Z,FAER,8399,18,18
2018-07-01T18:30:00Z,FISH,5066,20,19
2018-07-01T18:30:00Z,HELT,3535,74,66
2018-07-01T18:30:00Z,HUW,3060,17,19
2018-07-01T18:30:00Z,KAUF,4000,15,13
2018-07-01T18:30:00Z,KBAT,7000,12,12
2018-07-01T18:30:00Z,KSON,1017,1039,1045
2018-07-01T18:30:00Z,LDSC,1328,23,26
2018-07-01T18:30:00Z,LUPE,24833,12,12
2018-07-01T18:30:00Z,MPC,21445,16,18
2018-07-01T18:30:00Z,MYNC,363866,16,15
2018-07-01T18:30:00Z,NAKR,129667,10,7
2018-07-01T18:30:00Z,NATN,8771,20,18
2018-07-01T18:30:00Z,PDSS,2150,20,19
2018-07-01T18:30:00Z,PEOP,937009,15,15
2018-07-01T18:30:00Z,POWR,0,7,8
2018-07-01T18:30:00Z,SHRX,0,7,7
2018-07-01T18:30:00Z,SKBD,1920,54,55
2018-07-01T18:30:00Z,SKEI,26700,10,9
2018-07-01T18:30:00Z,SMUG,101,25,26
2018-07-01T18:30:00Z,SSS,2575,32,38
2018-07-01T18:30:00Z,STFP,0,6,6
2018-07-01T18:30:00Z,SWNC,370666,12,11
2018-07-01T18:30:00Z,TAG,46,47,39
2018-07-01T18:30:00Z,TNAH,6000,20,19
2018-07-01T18:30:00Z,TNPT,656138,14,16
2018-07-01T18:30:00Z,TPEG,0,6,6
2018-07-01T18:30:00Z,TPP,0,10,8
2018-07-01T18:30:00Z,TSRC,4325,27,20
2018-07-01T18:30:00Z,UNIB,41503,18,16
2018-07-01T18:30:00Z,VPTS,643,1484,1480
2018-07-01T18:30:00Z,YIPP,0,13,14
2018-07-01T19:00:00Z,AAVL,0,8,9
2018-07-01T19:00:00Z,ACFI,585788,15,15
2018-07-01T19:00:00Z,BB,0,6,7
2018-07-01T19:00:00Z,BOTT,5469,20,18
2018-07-01T19:00:00Z,BUZZ,4811,53,52
2018-07-01T19:00:00Z,CHIA,1186,34,34
2018-07-01T19:00:00Z,CHPS,0,8,9
2018-07-01T19:00:00Z,COFL,278033,10,9
2018-07-01T19:00:00Z,CYBU,0,8,8
2018-07-01T19:00:00Z,DROO,14000,17,18
2018-07-01T19:00:00Z,EEEEE,95669,14,14
2018-07-01T19:00:00Z,FAER,8399,18,18
2018-07-01T19:00:00Z,FISH,5086,20,19
2018-07-01T19:00:00Z,HELT,3535,74,64
2018-07-01T19:00:00Z,HUW,3575,17,20
2018-07-01T19:00:00Z,KAUF,4000,15,13
2018-07-01T19:00:00Z,KBAT,7000,12,12
2018-07-01T19:00:00Z,KSON,1017,1039,1043
2018-07-01T19:00:00Z,LDSC,1328,23,25
2018-07-01T19:00:00Z,LUPE,25833,12,12
2018-07-01T19:00:00Z,MPC,22565,16,18
2018-07-01T19:00:00Z,MYNC,363866,16,14
2018-07-01T19:00:00Z,NAKR,129667,10,7
2018-07-01T19:00:00Z,NATN,8971,20,18
2018-07-01T19:00:00Z,PDSS,2150,20,19
